id,WI,dem,urban_near,road_near,耕地面积,林地面积,草地面积,湿地面积,城市面积,裸地面积,水体面积,NTL_mean
BD201400000297,2.2,5.740566038,33383.5271,10091.37811,91162587.8,0,0,0,0,0,23188769.97,0.366964312
BD201400000298,2.833333333,11.81203008,15187.56514,6215.831864,91162587.8,313441.1968,0,0,0,0,313441.1968,0.13807251
BD201400000299,2.24137931,11.88333333,8968.224224,8445.620793,91162587.8,0,0,0,0,0,313441.1968,0.149256326
BD201400000300,1.689655172,12.46590909,22384.60792,305.9533593,91162587.8,417921.5957,3309826.888,0,0,0,29463346.65,0.079047105
BD201400000301,3.464285714,11.21666667,12583.57289,16.27943449,91162587.8,3764772.681,7874219.41,12741792.65,104480.3989,0,14154469.87,0.217078255
BD201400000302,2.413793103,10.26932084,7777.239898,9115.626677,91162587.8,11406863.05,26162719.88,3173110.48,0,0,5941965.83,0.168346559
BD201400000303,1.724137931,9.902272727,35858.38374,6939.752794,91162587.8,0,3535427.74,62460.25303,0,0,25845966.34,0.099121065
BD201400000304,3.142857143,10.16190476,23640.85462,3282.338892,91162587.8,2873257.787,2531592.705,0,89874.03894,0,47534078.84,0.106645638
BD201400000305,2.379310345,3.192857143,3535.858645,2216.326971,91162587.8,19391333.47,2871976.808,3407747.393,5689617.474,0,12873932.08,1.080294499
BD201400000306,2.966666667,4.25,7592.481734,7405.566177,91162587.8,1671686.383,1351679.462,0,835843.1914,724506.2645,12106172.39,0.61325778
BD201400000307,2.413793103,3.540669856,20889.75051,3517.066882,91162587.8,0,0,0,0,0,313441.1968,0.3229557
BD201400000308,3.133333333,3.10022779,5120.309903,2086.133907,91162587.8,294603.1218,0,0,608044.3186,0,503563.9197,0.477543651
BD201400000309,2.666666667,2.838095238,8316.703478,6610.302585,91162587.8,0,0,0,626882.3935,0,5860070.234,0.222724968
BD201400000310,2.862068966,5.176870748,3730.163366,6088.372016,91162587.8,522401.9946,0,0,970375.02,0,7920100.537,0.387242792
BD201400000311,3.866666667,15.86848073,4208.03553,3938.920279,91162587.8,313441.1968,126487.8549,0,1594770.321,0,42082.63707,0.824486547
BD201400000312,2.75,18.05801105,9169.037759,1842.758625,91162587.8,0,0,0,0,0,795067.9413,0.194791095
BD201400000313,3.133333333,17.13397129,6705.459883,936.5394676,91162587.8,0,0,0,611345.3836,0,101169.6834,0.418057054
BD201400000314,1.666666667,12.16590909,34126.83569,3406.554106,91162587.8,1106766.823,0,0,0,0,6211451.683,0.176775456
BD201400000315,1.566666667,13.90238095,36614.02311,3921.836107,91162587.8,837040.5665,287622.9111,0,0,0,1384593.349,0.195436734
BD201400000316,2.4,14.8952381,22667.25447,7904.933336,91162587.8,1363001.332,0,0,0,0,904729.9023,0.162311889
BD201400000317,3.571428571,14.025,19306.95404,933.2470171,91162587.8,0,0,0,0,0,1358245.186,0.258642277
BD201400000318,3.033333333,14.02954545,17602.11117,1951.159136,91162587.8,0,0,0,0,0,1149284.388,0.25535264
BD201400000319,3.866666667,7.942857143,4040.75943,3122.339091,91162587.8,0,0,0,1229466.713,0,1992496.294,0.476889095
BD201400000320,2.24137931,9.502380952,24027.22276,1920.904984,91162587.8,3215912.319,0,0,0,0,11288236.32,0.179184434
BD201400000321,2.571428571,7.80861244,37697.24364,6864.452334,91162587.8,1994641.983,313441.1968,3371642.802,0,0,3507223.978,0.159377234
BD201400000322,2.357142857,17.16904762,20266.08394,1344.476066,91162587.8,1966024.644,0,0,0,0,712259.8567,0.170299575
BD201400000323,2.724137931,16.63863636,13460.41667,7135.056324,91162587.8,258099.2929,1198060.568,98276.99012,0,0,93124952.36,0.120824728
BD201400000324,3.392857143,17.640625,17850.54866,2421.945938,91162587.8,1922517.373,0,1353478.839,417921.5957,0,5695275.343,0.292137365
BD201400000325,2.620689655,6.188636364,33868.67943,255.9112462,91162587.8,1358245.186,417921.5957,0,0,0,14342668.13,0.134588145
BD201400000326,3,7.154545455,688.6579448,276.6859121,91162587.8,1812110.914,2053319.007,7304994.704,1671686.383,0,33041778.77,0.697975355
BD201400000327,3.166666667,6.639455782,4768.665162,3042.922081,91162587.8,2511283.018,0,0,700886.1763,0,49243551.64,0.389892932
BD201400000328,2.733333333,1.557416268,35746.89075,845.8934772,91162587.8,2547655.862,1122954.292,0,25611.33202,0,54255485.62,0.077295378
BD201400000329,3.103448276,6.451388889,12065.9648,8267.047867,91162587.8,3343372.766,6649759.647,14342121.02,0,0,16132201.65,0.121730596
