id,??,??,??,??,??,??,??,WI,NTL_mean,road,dem
BD201800000061,0,2.53901,0.42175,0,91.32254,0,5.71519,3.866666667,0.629649023,19.03,6.406666667
BD201800000062,0,0.34653,16.81835,0,79.59824,0,3.23539,1.793103448,0.39495811,31.37,12.0952381
BD201800000063,0,0.83964,24.99516,0,71.89526,0,2.26843,2.344827586,0.455524497,19.77,9.735714286
BD201800000064,0,0.62688,44.57561,0,45.65976,0.07154,9.06472,1.896551724,0.419679529,7.12,8.115492958
BD201800000065,0.20896,15.38988,6.92285,0,63.21681,0,14.26003,3.866666667,1.615049803,22.98,74.78095238
BD201800000066,0.20896,15.33429,6.26597,0,63.46945,0,14.71986,1.862068966,1.540942374,21.73,17.06666667
BD201800000067,0.20896,15.38988,9.38445,0,63.31402,0,11.70124,1.392857143,1.687534642,23.98,50.861678
BD201800000068,0.35295,15.38988,15.81671,0,58.63934,0,9.79967,4,1.775680669,28.08,5.897619048
BD201800000069,0.20896,14.97114,17.10557,0,59.26939,0,8.44347,4.476190476,1.588613844,25.67,18.01587302
BD201800000070,0.31344,12.73728,9.92853,0,67.8851,0,9.13418,2.965517241,1.999083363,27.74,64.87625418
BD201800000071,0.14318,13.80582,18.14932,0,61.23864,0,6.66158,3.038461538,1.551165874,25.38,43.07672634
BD201800000072,0,0,21.67756,0,43.63843,0,0,2,0.391599994,5.19,77.97619048
BD201800000073,0,0.10448,0.06691,0,66.62567,0,33.20144,3.655172414,0.641046811,1.92,1.981081081
BD201800000074,0,0.07154,2.73518,0,70.27306,0,18.02402,3.7,0.934399096,10.39,12.93197279
BD201800000075,0,0,0,0,73.64691,0,26.35159,3.137931034,0.924429965,9.85,23.68012422
BD201800000076,0,1.01148,0,0,49.71024,0,49.27679,3.928571429,0.597103482,4.86,56.36507937
BD201800000077,0,0,0.63456,0,78.73439,0,20.62956,3.925925926,0.465057736,0,26.37676056
BD201800000078,0,0.38513,0,0,92.46567,0,7.14771,2.666666667,0.970885609,11.04,#N/A
BD201800000079,0,0,16.43725,0,80.03337,0,3.5279,3.633333333,0.397063091,10.52,-4.267573696
BD201800000080,5.56431,0,0.29282,11.42571,58.19667,0,24.51898,3.931034483,0.241487013,0,7.056768559
BD201800000081,0,0,23.95715,0,74.02825,0,2.01313,3.5,0.454354651,0,19.42
BD201800000082,0,0,5.40081,0,94.59771,0,0,2.740740741,0.505019596,8.63,15.59863946
BD201800000083,0,0,22.59704,0,76.96155,0,0.43995, ,0.444886763,10.32,6.37414966
BD201800000084,0,0,14.84122,0,84.06105,0,1.09627,3.642857143,0.491892161,10.45,154.3560091
BD201800000085,0.20896,0,0,0,66.37399,0,17.68171,2.785714286,0.661346551,1.79,#N/A
BD201800000086,2.46745,0,0.10448,0,59.79667,0,0.32958,2.620689655,0.5390378,0,22.70238095
BD201800000087,0,0.31868,11.18232,0,88.49753,0,0,4.1,0.797515619,11.67,37.9
BD201800000088,0,0.57348,5.21943,0,94.20563,0,0,4.392857143,0.716192509,18.73,6.385714286
BD201800000089,0,0.10448,4.66795,0,92.84679,0,2.37929, ,0.819750558,0,9.876190476
BD201800000090,0,0.3005,2.85316,0,96.84487,0,0,3.172413793,0.657328469,4.86,11.08333333
BD201800000091,0,0,3.90488,0,78.05745,0,5.65208,3.413793103,0.583493153,0,20.96969697
BD201800000092,0,2.25654,14.37244,0,83.36956,0,0,4.066666667,1.064091026,9.43,15.15
BD201800000093,0,0,34.07833,0,65.92019,0,0,2.75862069,0.382232436,11.32,5.26183844
BD201800000094,0,0.10448,4.65976,0,92.88279,0,2.35149,4.75,0.83226114,0,26.7324263
BD201800000095,0,0.14359,2.70856,0,95.64903,0,1.49733,4.033333333,0.813598035,10.2,4.3525
BD201800000096,0,1.00208,54.24883,0,44.7476,0,0,4.689655172,0.896600858,0,9.985714286
BD201800000097,0,0,34.41623,0,65.11832,0.32292,0.14103,3.214285714,0.476644831,6.55,-11.695
BD201800000098,0,0,0.19309,0,99.80541,0,0,3.533333333,0.72667067,0,5.012875536
BD201800000099,0,0,0.88459,0,99.11393,0,0,3.318181818,0.521293725,0,94.1625
BD201800000100,0,0,23.56582,0,75.91965,0.07965,0.43339,4.233333333,0.59426344,0,17.79761905
BD201800000101,0,0,1.32312,0,98.67538,0,0,3.3,0.782966286,2.42,482.3318182
BD201800000102,0,0.66984,5.70769,0,72.64968,0,20.97131,4.172413793,0.914953493,20.64,18.29047619
BD201800000103,0,0.07154,5.44302,0,94.04634,0,0.43761,3.633333333,0.627188874,0,45.9047619
BD201800000104,0,0,0.7163,0,99.28221,0,0,4.482758621,0.620228,22.32,15.28571429
BD201800000105,0,2.36219,48.72799,0,48.272,0.63636,0,3.206896552,0.789603849,17.08,1.219512195
BD201800000106,0,0,0,0,69.60051,0,30.39803,4.137931034,0.606873624,10.54,17.8
BD201800000107,0,0,7.42522,0,81.41071,4.37129,6.79129,3.185185185,0.569766127,0,6.352380952
BD201800000108,0,0,1.42769,0,98.22999,0,0.34085,2.965517241,0.691144842,0,249.9954649
BD201800000109,0,0,64.72246,0,35.27605,0,0,2.965517241,0.306688744,0,8.278911565
BD201800000110,1.84609,0,8.25353,0,84.94579,0,4.0885,2.266666667,0.497886435,11.63,5.45
BD201800000111,4.92783,0,3.96325,0,67.28704,0,10.45537,2.866666667,0.286463816,0,34.20861678
BD201800000112,0,0,41.23658,0,58.76194,0,0,3.448275862,0.28285367,0,10.08672087
BD201800000113,0,0.25697,11.4104,0,88.01619,0,0.31497,2.766666667,0.610668557,13.99,8.238095238
BD201800000114,0,0.50647,2.66176,0,94.97945,0,1.85084,4.066666667,1.094421347,7.52,8.761904762
BD201800000115,0,0,3.68196,0,83.35712,0,7.00029,3.933333333,0.807061641,2.57,6.9325
BD201800000116,0,0,5.25812,0,94.27823,0,0.24756,4.066666667,0.654759439,0.67,14.00714286
BD201800000117,0,0.07154,68.61046,0,30.37638,0.41792,0.5222,2.1,0.296161451,11.49,14.98185941
BD201800000118,0,0,0.65148,0,99.34702,0,0,1.133333333,0.306538346,10.06,6.419501134
BD201800000119,0,0.07154,30.89248,0,68.79203,0,0.24247,3.733333333,0.433573978,6.43,27.43310658
BD201800000120,0,0.86532,54.61577,0,43.99503,0,0.5224,4.275862069,0.682514648,24.21,16.28809524
BD201800000121,0,0.07154,43.89662,0,52.00619,0,4.02418,3.62962963,0.442889657,22.89,58.2175
BD201800000122,2.4165,0,2.93302,0,63.09516,0,31.55383,2.3,0.285865286,7.63,17.08163265
BD201800000123,0.38201,0,2.57459,0,94.53287,0,2.16667,3.928571429,0.291934176,0,8.5025
BD201800000124,0,0.07154,12.10825,0,85.78375,0,0,3.866666667,0.800680821,6.54,19.54195011
BD201800000125,0,0,1.09832,0,53.59358,0,0.10448,2.033333333,0.23307705,0,7.040816327
BD201800000126,0,0,29.09631,0,68.13105,0.61165,2.15953,4.103448276,0.561945513,0.77,5.50877193
BD201800000127,0,0,38.12949,0,56.7428,0.32948,4.79672,4.137931034,0.434154338,12.87,11.7547619
BD201800000128,0.11847,0,9.11473,0,86.8431,1.93284,1.70348,3.2,0.30567438,0,25.60544218
BD201800000129,0,0.5703,42.25347,0,56.74219,0,0.4326,3.9,0.776581646,26.53,106.3454545
BD201800000130,0,0,24.23333,0,27.8329,0.03324,47.89906,2.24137931,0.220535837,0.13,17.44927536
BD201800000131,0,0,66.17941,0,23.06688,0,0,1.103448276,0.293618978,0,8.085714286
BD201800000132,0,6.14618,0,0,83.05675,0,10.7956,2.892857143,2.395559545,8.43,26.53741497
BD201800000133,1.36394,5.94711,7.70229,3.295,40.63433,0,41.05585,2.5,0.958887875,20.72,23.25396825
BD201800000134,0,0,6.91522,0,93.0833,0,0,1.793103448,0.477378953,7.32,5.632458234
BD201800000135,0,2.7982,6.40552,0,82.67215,0,8.12265,2.068965517,2.926055948,22.66,18.82993197
BD201800000136,0,1.57271,1.62985,0,95.54111,0,1.25487,2.962962963,1.024660679,8.56,3.178997613
BD201800000137,0,0.01271,11.35519,0,88.63062,0,0,1.827586207,0.520337743,0,25.3125
BD201800000138,0,1.4044,0.14308,0,51.9204,0,46.53065,3.066666667,1.248695454,0,1.944134078
